ProcedureName,ParameterName,DataType,DefaultExpression
USP_CurrentTempDB,MinNettoMb,"decimal(19,2)",0
USP_CurrentTempDB,SystemSessionsEinbeziehen,bit,0
USP_CurrentTempDB,MitDateien,bit,1
USP_CurrentTempDB,MaxZeilen,int,1000
USP_CurrentTempDB,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentTempDB,JsonErzeugen,bit,0
USP_CurrentTempDB,Json,nvarchar(max),NULL OUTPUT
USP_CurrentTempDB,PrintMeldungen,bit,1
USP_CurrentTempDB,Hilfe,bit,0
USP_CurrentIO,DatabaseNames,nvarchar(max),N''
USP_CurrentIO,SystemdatenbankenEinbeziehen,bit,0
USP_CurrentIO,DatabaseNamePattern,nvarchar(4000),NULL
USP_CurrentIO,MaxDatenbanken,int,16
USP_CurrentIO,MinLatencyMs,"decimal(19,3)",0
USP_CurrentIO,SampleSeconds,tinyint,0
USP_CurrentIO,MaxZeilen,int,1000
USP_CurrentIO,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentIO,JsonErzeugen,bit,0
USP_CurrentIO,Json,nvarchar(max),NULL OUTPUT
USP_CurrentIO,PrintMeldungen,bit,1
USP_CurrentIO,Hilfe,bit,0
USP_CurrentLog,DatabaseNames,nvarchar(max),N''
USP_CurrentLog,SystemdatenbankenEinbeziehen,bit,0
USP_CurrentLog,DatabaseNamePattern,nvarchar(4000),NULL
USP_CurrentLog,MinUsedPercent,"decimal(5,2)",NULL
USP_CurrentLog,MitVlfInformationen,bit,0
USP_CurrentLog,MitPersistentVersionStore,bit,0
USP_CurrentLog,MaxDatenbanken,int,16
USP_CurrentLog,MaxZeilen,int,1000
USP_CurrentLog,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentLog,JsonErzeugen,bit,0
USP_CurrentLog,Json,nvarchar(max),NULL OUTPUT
USP_CurrentLog,PrintMeldungen,bit,1
USP_CurrentLog,Hilfe,bit,0
USP_CurrentOverview,SessionIds,nvarchar(max),NULL
USP_CurrentOverview,DatabaseNames,nvarchar(max),N''
USP_CurrentOverview,SystemdatenbankenEinbeziehen,bit,0
USP_CurrentOverview,DatabaseNamePattern,nvarchar(4000),NULL
USP_CurrentOverview,MaxDatenbanken,int,16
USP_CurrentOverview,MitSessions,bit,1
USP_CurrentOverview,MitRequests,bit,1
USP_CurrentOverview,MitBlocking,bit,1
USP_CurrentOverview,MitWaits,bit,1
USP_CurrentOverview,MitTransactions,bit,1
USP_CurrentOverview,MitMemoryGrants,bit,1
USP_CurrentOverview,MitTempDB,bit,1
USP_CurrentOverview,MitIO,bit,1
USP_CurrentOverview,MitLog,bit,1
USP_CurrentOverview,MitSqlText,bit,1
USP_CurrentOverview,GesamtenSqlTextEinbeziehen,bit,0
USP_CurrentOverview,InputBufferEinbeziehen,bit,0
USP_CurrentOverview,ModulInfoEinbeziehen,bit,1
USP_CurrentOverview,MaxSqlTextZeichen,int,4000
USP_CurrentOverview,SampleSeconds,tinyint,0
USP_CurrentOverview,MaxZeilen,int,500
USP_CurrentOverview,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentOverview,JsonErzeugen,bit,0
USP_CurrentOverview,Json,nvarchar(max),NULL OUTPUT
USP_CurrentOverview,PrintMeldungen,bit,1
USP_CurrentOverview,Hilfe,bit,0
USP_ObjectInventory,DatabaseNames,nvarchar(max),N''
USP_ObjectInventory,SystemdatenbankenEinbeziehen,bit,0
USP_ObjectInventory,DatabaseNamePattern,nvarchar(4000),NULL
USP_ObjectInventory,SchemaNames,nvarchar(max),NULL
USP_ObjectInventory,SchemaNamePattern,nvarchar(4000),NULL
USP_ObjectInventory,ObjectNames,nvarchar(max),NULL
USP_ObjectInventory,ObjectNamePattern,nvarchar(4000),NULL
USP_ObjectInventory,FullObjectNames,nvarchar(max),NULL
USP_ObjectInventory,ObjectType,varchar(16),'TABLE'
USP_ObjectInventory,AnalyseModus,varchar(16),'GEZIELT'
USP_ObjectInventory,MitIndizes,bit,1
USP_ObjectInventory,MitSpaltenlisten,bit,1
USP_ObjectInventory,MaxDatenbanken,int,16
USP_ObjectInventory,MaxZeilen,int,5000
USP_ObjectInventory,LockTimeoutMs,int,0
USP_ObjectInventory,ResultSetArt,varchar(16),'CONSOLE'
USP_ObjectInventory,JsonErzeugen,bit,0
USP_ObjectInventory,Json,nvarchar(max),NULL OUTPUT
USP_ObjectInventory,PrintMeldungen,bit,1
USP_ObjectInventory,Hilfe,bit,0
USP_IndexUsage,DatabaseNames,nvarchar(max),N''
USP_IndexUsage,SystemdatenbankenEinbeziehen,bit,0
USP_IndexUsage,DatabaseNamePattern,nvarchar(4000),NULL
USP_IndexUsage,SchemaNames,nvarchar(max),NULL
USP_IndexUsage,SchemaNamePattern,nvarchar(4000),NULL
USP_IndexUsage,ObjectNames,nvarchar(max),NULL
USP_IndexUsage,ObjectNamePattern,nvarchar(4000),NULL
USP_IndexUsage,FullObjectNames,nvarchar(max),NULL
USP_IndexUsage,AnalyseModus,varchar(16),'GEZIELT'
USP_IndexUsage,NurUngenutzt,bit,0
USP_IndexUsage,MinUserUpdates,bigint,0
USP_IndexUsage,PrimaryUndUniqueEinbeziehen,bit,1
USP_IndexUsage,MitMemoryOptimized,bit,1
USP_IndexUsage,MaxDatenbanken,int,16
USP_IndexUsage,MaxZeilen,int,5000
